image_path,author
wikiart/Edgar_Degas/edgar-degas_portrait-of-princess-pauline-de-metternich.jpg,Edgar_Degas
wikiart/Nicholas_Roerich/nicholas-roerich_ridge-approaches-to-everest-1936.jpg,Nicholas_Roerich
wikiart/Ivan_Shishkin/ivan-shishkin_herd-of-sheep-under-an-oak-tree-1863.jpg,Ivan_Shishkin
wikiart/Eugene_Boudin/eugene-boudin_gypsy-horses.jpg,Eugene_Boudin
wikiart/Pierre_Auguste_Renoir/pierre-auguste-renoir_standing-nude-1889.jpg,Pierre_Auguste_Renoir
wikiart/Claude_Monet/claude-monet_the-coast-of-varengeville.jpg,Claude_Monet
wikiart/Camille_Pissarro/camille-pissarro_lucien-pissarro-in-an-interior.jpg,Camille_Pissarro
wikiart/Claude_Monet/claude-monet_the-japanese-bridge-1.jpg,Claude_Monet
wikiart/Edgar_Degas/edgar-degas_three-girls-sitting-en-face-1879.jpg,Edgar_Degas
wikiart/Pierre_Auguste_Renoir/pierre-auguste-renoir_young-woman-in-a-hat-1.jpg,Pierre_Auguste_Renoir
wikiart/Nicholas_Roerich/nicholas-roerich_allal-ming-1920.jpg,Nicholas_Roerich
wikiart/Eugene_Boudin/eugene-boudin_street-antibes-1893.jpg,Eugene_Boudin
wikiart/Albrecht_Durer/albrecht-durer_apollo-with-the-solar-disc.jpg,Albrecht_Durer
wikiart/Marc_Chagall/marc-chagall_old-man-and-old-woman.jpg,Marc_Chagall
wikiart/Pyotr_Konchalovsky/pyotr-konchalovsky_sawyers-1932-1.jpg,Pyotr_Konchalovsky
wikiart/John_Singer_Sargent/john-singer-sargent_jerusalem.jpg,John_Singer_Sargent
wikiart/Claude_Monet/claude-monet_water-lily-pond-evening-left-panel-1926.jpg,Claude_Monet
wikiart/Raphael_Kirchner/raphael-kirchner_a-half-of-a-virgin-1901-4.jpg,Raphael_Kirchner
wikiart/Rembrandt/rembrandt_a-bust-of-an-old-man-1633.jpg,Rembrandt
wikiart/Pyotr_Konchalovsky/pyotr-konchalovsky_siena-the-urban-landscape-1912.jpg,Pyotr_Konchalovsky
wikiart/Albrecht_Durer/albrecht-durer_erasmo-de-rotterdam-1520.jpg,Albrecht_Durer
wikiart/Camille_Pissarro/camille-pissarro_study-for-the-banks-of-marne-in-winter-1866.jpg,Camille_Pissarro
